Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
0665;2024-12-31;2;2;2;0;1;1;7;18;39;23;15;26;37;18;16;22;44;38;26;29;27;13;7;1;414;;2;0665 - Bonduelle vers Nord;2024-12-31;Vacances de Noël
0673;2024-12-31;5;5;1;2;2;3;3;31;30;10;13;11;25;22;16;31;43;45;35;31;14;6;8;4;396;;2;0673 - Pont de Pornic vers Sud;2024-12-31;Vacances de Noël
0880;2024-12-31;13;8;7;5;3;2;9;28;75;49;26;37;57;67;45;37;87;87;73;45;27;25;10;4;826;;2;0880 - Madeleine vers Nord;2024-12-31;Vacances de Noël
0944;2024-12-31;0;0;1;0;0;0;1;5;17;3;3;6;6;7;9;5;17;9;11;6;0;1;0;1;108;;2;0944 - Magellan vers Est;2024-12-31;Vacances de Noël
0946;2024-12-31;1;1;2;0;0;1;4;8;42;17;14;16;19;14;20;15;36;23;28;15;14;1;2;4;297;;2;0946 - Magellan vers Est;2024-12-31;Vacances de Noël
0949;2024-12-31;2;1;1;1;1;0;0;3;2;0;5;11;7;5;13;13;21;12;7;6;3;4;1;1;120;;2;0949 - avenue de la Libération vers Sud;2024-12-31;Vacances de Noël
9673;2024-12-31;3;4;1;2;2;3;3;31;30;9;10;10;22;22;17;34;36;52;33;31;14;5;7;4;385;;2;9673 -;2024-12-31;Vacances de Noël
0786;2024-12-31;13;9;1;2;4;3;12;37;72;78;63;72;107;71;58;77;142;117;85;72;52;32;10;8;1197;;2;0786 - 50 Otages Vers Nord;2024-12-31;Vacances de Noël
0746;2024-12-31;1;0;0;0;0;0;1;10;33;12;9;15;10;15;13;7;20;33;7;6;2;2;0;0;196;;2;0746 - Chemin de halage Tortière vers Sud;2024-12-31;Vacances de Noël
0988;2024-12-31;3;1;1;2;1;0;9;34;81;36;24;22;21;33;25;39;40;35;28;32;19;7;2;2;497;;2;0988 - Kennedy vers Est;2024-12-31;Vacances de Noël
