id_meteo,date,temperature,precipitation,wind_speed,cloud_cover,wind_gusts,apparent_temperature
1,2024-01-01,7.4,0.6,19.7,100,36.0,4.0
2,2024-01-02,8.0,1.9,20.2,100,35.6,4.2
3,2024-01-03,10.6,2.9,27.8,100,47.9,6.3
4,2024-01-04,7.3,0.4,33.1,100,61.9,3.5
5,2024-01-05,1.0,0.9,21.3,100,36.7,-2.9
6,2024-01-06,1.0,0.2,18.4,100,32.4,-3.3
7,2024-01-07,-0.3,0.4,22.6,100,38.9,-5.2
8,2024-01-08,-3.8,0.0,21.9,100,38.5,-9.5
9,2024-01-09,-4.0,0.0,8.7,0,16.2,-8.5
10,2024-01-10,-1.8,0.0,9.3,46,19.1,-6.3
11,2024-01-11,-0.2,0.0,17.7,100,31.7,-3.8
12,2024-01-12,0.6,0.0,17.4,100,31.0,-3.9
13,2024-01-13,2.2,0.6,28.9,100,50.4,-2.8
14,2024-01-14,2.9,0.4,25.8,100,47.2,-2.5
15,2024-01-15,2.3,0.3,35.3,100,64.4,-3.9
16,2024-01-16,1.1,1.1,22.4,100,39.6,-4.5
17,2024-01-17,-0.1,0.5,15.6,100,25.9,-4.7
18,2024-01-18,0.5,0.0,13.2,100,22.3,-3.3
19,2024-01-19,1.9,0.0,24.5,100,47.5,-4.1
20,2024-01-20,3.1,0.0,26.6,100,51.8,-2.5
21,2024-01-21,3.1,0.0,28.2,100,47.2,-3.6
22,2024-01-22,8.9,1.1,33.7,100,58.0,3.1
23,2024-01-23,7.6,0.3,30.7,100,53.3,2.7
24,2024-01-24,10.4,1.8,42.2,100,76.7,4.5
25,2024-01-25,8.4,0.1,35.3,100,66.6,2.7
26,2024-01-26,9.1,1.9,34.1,100,62.3,4.7
27,2024-01-27,6.8,0.0,28.7,100,50.0,2.6
28,2024-01-28,6.4,0.0,14.0,100,24.1,2.8
29,2024-01-29,8.3,0.0,15.0,100,25.9,4.7
30,2024-01-30,8.3,0.1,16.3,100,26.6,4.6
31,2024-01-31,7.6,0.0,21.8,100,37.1,3.2
32,2024-02-01,7.8,0.8,29.2,100,57.6,2.8
33,2024-02-02,8.1,0.4,29.6,100,51.1,3.2
34,2024-02-03,10.4,0.4,34.0,100,59.4,5.8
35,2024-02-04,8.5,1.0,31.0,100,60.5,3.5
36,2024-02-05,9.7,1.5,32.0,100,59.8,5.3
37,2024-02-06,10.4,0.4,36.1,100,65.5,5.0
38,2024-02-07,9.2,2.7,34.5,100,64.1,3.8
39,2024-02-08,4.8,0.6,14.8,100,24.5,2.1
40,2024-02-09,8.0,2.2,23.4,100,40.7,5.8
41,2024-02-10,12.5,1.5,15.6,100,26.3,11.5
42,2024-02-11,10.2,0.7,17.9,100,30.6,7.5
43,2024-02-12,8.8,0.8,21.8,100,43.6,4.7
44,2024-02-13,8.3,0.1,20.2,100,36.7,4.1
45,2024-02-14,9.4,2.6,20.5,100,37.1,6.4
46,2024-02-15,13.3,0.1,14.8,100,27.7,12.1
47,2024-02-16,15.6,1.1,18.9,100,34.2,13.5
48,2024-02-17,11.0,0.5,23.8,100,44.6,8.6
49,2024-02-18,9.4,0.7,19.6,100,33.5,5.9
50,2024-02-19,8.6,1.2,29.4,100,53.6,5.1
51,2024-02-20,8.7,0.2,26.1,100,46.4,4.8
52,2024-02-21,10.7,0.7,26.6,100,46.8,7.3
53,2024-02-22,11.5,0.9,29.1,100,50.4,8.8
54,2024-02-23,11.2,0.0,30.2,100,53.3,6.1
55,2024-02-24,10.3,0.0,21.1,100,41.4,5.9
56,2024-02-25,11.3,0.0,18.7,100,36.7,6.6
57,2024-02-26,10.6,0.0,17.6,100,29.9,7.3
58,2024-02-27,7.0,0.0,20.0,100,36.7,3.3
59,2024-02-28,5.4,0.0,11.6,100,24.5,2.2
60,2024-02-29,9.4,0.0,18.7,98,33.5,6.0
61,2024-03-01,12.1,0.0,11.9,100,27.0,10.3
62,2024-03-02,11.1,0.2,12.4,100,21.6,9.1
63,2024-03-03,13.4,0.0,18.7,100,34.2,10.6
64,2024-03-04,12.5,0.1,18.5,100,31.3,10.3
65,2024-03-05,7.1,0.1,16.6,100,31.3,3.1
66,2024-03-06,7.2,0.1,14.5,100,27.4,3.4
67,2024-03-07,7.6,0.3,18.7,100,35.6,3.1
68,2024-03-08,7.7,0.0,19.4,0,35.3,2.7
69,2024-03-09,9.4,0.3,26.2,100,46.8,5.0
70,2024-03-10,12.0,0.0,29.6,100,52.9,7.3
71,2024-03-11,13.7,0.0,22.0,100,38.5,11.1
72,2024-03-12,13.4,0.0,13.4,100,25.9,10.5
73,2024-03-13,13.4,0.0,15.6,100,30.2,9.9
74,2024-03-14,14.4,0.1,15.1,100,29.9,12.3
75,2024-03-15,17.2,0.0,17.5,100,31.0,15.0
76,2024-03-16,12.4,0.5,24.4,99,47.5,8.9
77,2024-03-17,8.3,0.0,19.3,100,35.6,4.1
78,2024-03-18,6.1,0.0,14.4,100,29.2,2.2
79,2024-03-19,8.6,0.0,16.6,100,32.8,5.0
80,2024-03-20,16.0,0.0,10.2,100,20.2,13.3
81,2024-03-21,14.2,1.4,20.2,100,37.4,12.4
82,2024-03-22,13.1,1.0,19.5,100,41.4,9.6
83,2024-03-23,8.5,1.1,23.9,100,43.2,6.4
84,2024-03-24,6.4,1.8,26.6,100,47.2,3.1
85,2024-03-25,9.4,0.3,19.9,100,38.9,5.0
86,2024-03-26,12.9,0.0,23.1,100,43.2,8.9
87,2024-03-27,17.1,0.0,18.5,100,34.6,14.3
88,2024-03-28,13.4,0.5,34.0,100,59.4,8.7
89,2024-03-29,14.5,0.1,20.9,100,39.6,10.8
90,2024-03-30,21.8,0.3,13.8,100,27.4,20.8
91,2024-03-31,19.0,0.0,11.5,100,22.3,19.6
92,2024-04-01,19.4,0.1,31.3,100,54.7,17.6
93,2024-04-02,13.6,1.3,36.7,100,65.2,8.3
94,2024-04-03,11.5,1.1,25.6,100,44.6,10.8
95,2024-04-04,14.2,1.5,23.1,100,43.9,10.7
96,2024-04-05,18.8,1.5,27.3,100,52.6,16.1
97,2024-04-06,21.9,0.1,13.9,100,29.9,21.8
