"semaine","total_passages"
2024-01-01 00:00:00.000 +0100,165156
2024-01-08 00:00:00.000 +0100,274615
2024-01-15 00:00:00.000 +0100,274776
2024-01-22 00:00:00.000 +0100,284954
2024-01-29 00:00:00.000 +0100,325068
2024-02-05 00:00:00.000 +0100,288710
2024-02-12 00:00:00.000 +0100,342797
2024-02-19 00:00:00.000 +0100,288951
2024-02-26 00:00:00.000 +0100,251650
2024-03-04 00:00:00.000 +0100,244665
2024-03-11 00:00:00.000 +0100,313176
2024-03-18 00:00:00.000 +0100,372510
2024-03-25 00:00:00.000 +0100,297976
2024-04-01 00:00:00.000 +0200,251165
2024-04-08 00:00:00.000 +0200,358655
2024-04-15 00:00:00.000 +0200,368066
2024-04-22 00:00:00.000 +0200,250035
2024-04-29 00:00:00.000 +0200,234801
2024-05-06 00:00:00.000 +0200,219658
2024-05-13 00:00:00.000 +0200,314105
2024-05-20 00:00:00.000 +0200,322132
2024-05-27 00:00:00.000 +0200,356018
2024-06-03 00:00:00.000 +0200,411650
2024-06-10 00:00:00.000 +0200,353914
2024-06-17 00:00:00.000 +0200,334939
2024-06-24 00:00:00.000 +0200,396946
2024-07-01 00:00:00.000 +0200,375598
2024-07-08 00:00:00.000 +0200,307185
2024-07-15 00:00:00.000 +0200,374604
2024-07-22 00:00:00.000 +0200,358802
2024-07-29 00:00:00.000 +0200,327312
2024-08-05 00:00:00.000 +0200,285012
2024-08-12 00:00:00.000 +0200,188975
2024-08-19 00:00:00.000 +0200,266794
2024-08-26 00:00:00.000 +0200,327808
2024-09-02 00:00:00.000 +0200,353591
2024-09-09 00:00:00.000 +0200,411114
2024-09-16 00:00:00.000 +0200,397088
2024-09-23 00:00:00.000 +0200,333309
2024-09-30 00:00:00.000 +0200,354855
2024-10-07 00:00:00.000 +0200,340378
2024-10-14 00:00:00.000 +0200,349235
2024-10-21 00:00:00.000 +0200,305650
2024-10-28 00:00:00.000 +0100,235487
2024-11-04 00:00:00.000 +0100,334089
2024-11-11 00:00:00.000 +0100,306769
2024-11-18 00:00:00.000 +0100,271225
2024-11-25 00:00:00.000 +0100,305292
2024-12-02 00:00:00.000 +0100,325188
2024-12-09 00:00:00.000 +0100,327803
2024-12-16 00:00:00.000 +0100,316465
2024-12-23 00:00:00.000 +0100,108240
2024-12-30 00:00:00.000 +0100,42413
