"est_vacances","date","passages_total","temperature","apparent_temperature","precipitation","wind_speed","wind_gusts","cloud_cover","is_rain","is_hot","is_cold","is_windy","is_grey"
Vacances,2024-01-01,221856,7.4,4.0,0.6,19.7,36.0,100,true,false,false,true,true
Vacances,2024-01-02,367920,8.0,4.2,1.9,20.2,35.6,100,true,false,false,true,true
Vacances,2024-01-03,664512,10.6,6.3,2.9,27.8,47.9,100,true,false,false,true,true
Vacances,2024-01-04,831408,7.3,3.5,0.4,33.1,61.9,100,true,false,false,true,true
Vacances,2024-01-05,911712,1.0,-2.9,0.9,21.3,36.7,100,true,false,true,true,true
Vacances,2024-01-06,549432,1.0,-3.3,0.2,18.4,32.4,100,true,false,true,true,true
Vacances,2024-01-07,416904,-0.3,-5.2,0.4,22.6,38.9,100,true,false,true,true,true
Hors vacances,2024-01-08,1169064,-3.8,-9.5,0.0,21.9,38.5,100,false,false,true,true,true
Hors vacances,2024-01-09,1208640,-4.0,-8.5,0.0,8.7,16.2,0,false,false,true,false,false
Hors vacances,2024-01-10,1066704,-1.8,-6.3,0.0,9.3,19.1,46,false,false,true,false,false
Hors vacances,2024-01-11,1234296,-0.2,-3.8,0.0,17.7,31.7,100,false,false,true,true,true
Hors vacances,2024-01-12,1077888,0.6,-3.9,0.0,17.4,31.0,100,false,false,true,true,true
Hors vacances,2024-01-13,488424,2.2,-2.8,0.6,28.9,50.4,100,true,false,true,true,true
Hors vacances,2024-01-14,345744,2.9,-2.5,0.4,25.8,47.2,100,true,false,true,true,true
Hors vacances,2024-01-15,1113960,2.3,-3.9,0.3,35.3,64.4,100,true,false,true,true,true
Hors vacances,2024-01-16,1263840,1.1,-4.5,1.1,22.4,39.6,100,true,false,true,true,true
Hors vacances,2024-01-17,1013112,-0.1,-4.7,0.5,15.6,25.9,100,true,false,true,false,true
Hors vacances,2024-01-18,1275864,0.5,-3.3,0.0,13.2,22.3,100,false,false,true,false,true
Hors vacances,2024-01-19,1069368,1.9,-4.1,0.0,24.5,47.5,100,false,false,true,true,true
