date,vacances,id_date,mois,jour,name_day
2024-12-31,Vacances de Noël,1,12,31,2
2024-12-30,Vacances de Noël,2,12,30,1
2024-12-29,Vacances de Noël,3,12,29,7
2024-12-28,Vacances de Noël,4,12,28,6
2024-12-27,Vacances de Noël,5,12,27,5
2024-12-26,Vacances de Noël,6,12,26,4
2024-12-25,Vacances de Noël,7,12,25,3
2024-12-24,Vacances de Noël,8,12,24,2
2024-12-23,Vacances de Noël,9,12,23,1
2024-12-22,Vacances de Noël,10,12,22,7
2024-12-21,Vacances de Noël,11,12,21,6
2024-12-20,Hors Vacances,12,12,20,5
2024-12-19,Hors Vacances,13,12,19,4
2024-12-18,Hors Vacances,14,12,18,3
2024-12-17,Hors Vacances,15,12,17,2
2024-12-16,Hors Vacances,16,12,16,1
2024-12-15,Hors Vacances,17,12,15,7
2024-12-14,Hors Vacances,18,12,14,6
2024-12-13,Hors Vacances,19,12,13,5
2024-12-12,Hors Vacances,20,12,12,4
2024-12-11,Hors Vacances,21,12,11,3
2024-12-10,Hors Vacances,22,12,10,2
2024-12-09,Hors Vacances,23,12,9,1
2024-12-08,Hors Vacances,24,12,8,7
2024-12-07,Hors Vacances,25,12,7,6
2024-12-06,Hors Vacances,26,12,6,5
2024-12-05,Hors Vacances,27,12,5,4
2024-12-04,Hors Vacances,28,12,4,3
2024-12-03,Hors Vacances,29,12,3,2
2024-12-02,Hors Vacances,30,12,2,1
2024-12-01,Hors Vacances,31,12,1,7
2024-11-30,Hors Vacances,32,11,30,6
2024-11-29,Hors Vacances,33,11,29,5
2024-11-28,Hors Vacances,34,11,28,4
2024-11-27,Hors Vacances,35,11,27,3
2024-11-26,Hors Vacances,36,11,26,2
2024-11-25,Hors Vacances,37,11,25,1
2024-11-24,Hors Vacances,38,11,24,7
2024-11-23,Hors Vacances,39,11,23,6
2024-11-22,Hors Vacances,40,11,22,5
2024-11-21,Hors Vacances,41,11,21,4
2024-11-20,Hors Vacances,42,11,20,3
2024-11-19,Hors Vacances,43,11,19,2
2024-11-18,Hors Vacances,44,11,18,1
2024-11-17,Hors Vacances,45,11,17,7
