time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),cloud_cover (%),wind_gusts_10m (km/h),apparent_temperature (°C)
2024-01-01T00:00,5.0,0.00,14.1,100,23.4,1.3
2024-01-01T01:00,5.4,0.00,13.7,100,24.1,1.8
2024-01-01T02:00,5.1,0.00,14.0,99,23.4,1.4
2024-01-01T03:00,4.7,0.00,14.5,68,24.5,0.8
2024-01-01T04:00,4.4,0.00,14.0,14,24.1,0.6
2024-01-01T05:00,3.9,0.00,14.0,29,23.4,0.1
2024-01-01T06:00,3.8,0.00,14.3,59,23.8,-0.1
2024-01-01T07:00,3.5,0.00,13.9,52,23.8,-0.4
2024-01-01T08:00,3.9,0.00,14.2,90,23.8,0.1
2024-01-01T09:00,4.9,0.00,15.3,80,25.2,1.1
2024-01-01T10:00,6.4,0.00,17.5,35,28.8,2.3
2024-01-01T11:00,7.2,0.00,19.7,100,33.5,2.8
2024-01-01T12:00,6.3,0.60,18.4,97,36.0,2.1
2024-01-01T13:00,7.4,0.60,13.8,47,29.9,4.0
2024-01-01T14:00,7.4,0.00,18.4,94,30.2,3.3
2024-01-01T15:00,6.8,0.00,17.5,100,31.7,2.7
2024-01-01T16:00,6.4,0.20,15.3,98,29.5,2.7
2024-01-01T17:00,5.7,0.00,14.0,94,25.2,2.1
2024-01-01T18:00,5.2,0.10,15.3,59,25.6,1.3
2024-01-01T19:00,4.9,0.00,16.5,48,27.4,0.8
2024-01-01T20:00,4.7,0.10,15.9,55,27.7,0.8
2024-01-01T21:00,4.4,0.20,16.9,49,28.4,0.2
2024-01-01T22:00,3.7,0.10,17.2,81,32.0,-0.6
2024-01-01T23:00,4.2,0.00,13.6,100,28.8,0.5
2024-01-02T00:00,4.8,0.00,13.9,100,22.7,1.2
2024-01-02T01:00,4.4,0.00,11.5,93,19.8,1.0
2024-01-02T02:00,3.8,0.00,12.0,93,20.5,0.3
2024-01-02T03:00,3.0,0.00,11.6,100,20.5,-0.6
2024-01-02T04:00,2.6,0.00,10.2,100,19.4,-0.7
